AccidentYear;Development;IncurredValue;PaidValue
1984;10;19736018,78;18271194,63
1985;10;20901665,62;18928126,88
1986;10;20925156,87;19222206,99
1987;10;23162546,83;21117684,29
1988;10;23480139,53;21445509,63
1989;10;22964706,55;20726962,22
1990;10;27621602,24;24641567,25
1991;10;;
1992;10;;
1993;10;;
1994;10;;
1995;10;;
1996;10;;
1997;10;;
1998;10;;
1999;10;;
1980;11;17039430,51;16444666,42
1981;11;17458551,08;16669374,7
1982;11;17148511,69;16296826,32
1983;11;18829303,65;17761739,55
1984;11;19595823,81;18440259,22
1985;11;20553952,6;19105688,27
1986;11;21315054,7;19541483,66
1987;11;23283262,71;21419735,48
1988;11;23297241,97;21781315,71
1989;11;22637186,45;20938116,09
1990;11;;
1991;11;;
1992;11;;
1993;11;;
1994;11;;
1995;11;;
1996;11;;
1997;11;;
1998;11;;
1999;11;;
1980;12;17045154,55;16493882,8
1981;12;17479319,09;16762703,81
1982;12;17199985,28;16404407,03
1983;12;18678983,49;17852917,54
1984;12;19918218,78;18613341,05
1985;12;21035655,5;19412938,53
1986;12;21301055,71;19806074,27
1987;12;23238138,76;21608607,35
1988;12;23251390,93;22016526,99
1989;12;;
1990;12;;
1991;12;;
1992;12;;
1993;12;;
1994;12;;
1995;12;;
1996;12;;
1997;12;;
1998;12;;
1999;12;;
1980;13;17080590,45;16574350,21
1981;13;17496647,18;16851216,37
1982;13;17172754,22;16499876,09
1983;13;18876603,04;17986291,5
1984;13;20189601,86;18762762,14
1985;13;20995570,57;19624007,53
1986;13;21276601,87;19983870,53
1987;13;23204505,58;21812277,02
1988;13;;
1989;13;;
1990;13;;
1991;13;;
1992;13;;
1993;13;;
1994;13;;
1995;13;;
1996;13;;
1997;13;;
1998;13;;
1999;13;;
1980;14;17117832,04;16638549,01
1981;14;17456550,96;16935441,2
1982;14;17243083,43;16558034,7
1983;14;19702780,41;18074083,67
1984;14;20106256,86;19049652,86
1985;14;20958185,67;19844484,17
1986;14;21305367,76;20128296,16
1987;14;;
1988;14;;
1989;14;;
1990;14;;
1991;14;;
1992;14;;
1993;14;;
1994;14;;
1995;14;;
1996;14;;
1997;14;;
1998;14;;
1999;14;;
1980;15;17075239,5;16657166,64
1981;15;17561619,11;17010215,34
1982;15;17290049,55;16634801,02
1983;15;19840707,39;18264255,38
1984;15;19985448,04;19112496,99
1985;15;20940985,49;19921288,45
1986;15;;
1987;15;;
1988;15;;
1989;15;;
1990;15;;
1991;15;;
1992;15;;
1993;15;;
1994;15;;
1995;15;;
1996;15;;
1997;15;;
1998;15;;
1999;15;;
1980;16;17137253,07;16700142,33
1981;16;17727651,01;17057407,28
1982;16;17278067,06;16820292,54
1983;16;19651179,02;18287797,99
1984;16;20012826,88;19224223,86
1985;16;;
1986;16;;
1987;16;;
1988;16;;
1989;16;;
1990;16;;
1991;16;;
1992;16;;
1993;16;;
1994;16;;
1995;16;;
1996;16;;
1997;16;;
1998;16;;
1999;16;;
1980;17;17106199,94;16735500,92
1981;17;17642154,51;17193194,3
1982;17;17242587,24;16862616,69
1983;17;19738389,4;18489398,8
1984;17;;
1985;17;;
1986;17;;
1987;17;;
1988;17;;
1989;17;;
1990;17;;
1991;17;;
1992;17;;
1993;17;;
1994;17;;
1995;17;;
1996;17;;
1997;17;;
1998;17;;
1999;17;;
1980;18;17132616,68;16832406,05
1981;18;17670355,11;17218547,94
1982;18;17265194,94;16895796,99
1983;18;;
1984;18;;
1985;18;;
1986;18;;
1987;18;;
1988;18;;
1989;18;;
1990;18;;
1991;18;;
1992;18;;
1993;18;;
1994;18;;
1995;18;;
1996;18;;
1997;18;;
1998;18;;
1999;18;;
1980;19;17185197,78;16878704,89
1981;19;17656666,44;17295372,08
1982;19;;
1983;19;;
1984;19;;
1985;19;;
1986;19;;
1987;19;;
1988;19;;
1989;19;;
1990;19;;
1991;19;;
1992;19;;
1993;19;;
1994;19;;
1995;19;;
1996;19;;
1997;19;;
1998;19;;
1999;19;;
1980;20;17234110,3;17013414,91
1981;20;;
1982;20;;
1983;20;;
1984;20;;
1985;20;;
1986;20;;
1987;20;;
1988;20;;
1989;20;;
1990;20;;
1991;20;;
1992;20;;
1993;20;;
1994;20;;
1995;20;;
1996;20;;
1997;20;;
1998;20;;
1999;20;;
